"Wage deciles/percentiles: Wage deciles divide full-time workers into 10 groups of equal size. The first decile dollar value represents the upper earnings limit of the lowest-earning 10 percent of workers, the second decile dollar value is the upper earnings limit of the lowest-earning 20 percent of workers, and so forth. For example, 10 percent of workers earn less than the upper limit of the first decile, while 90 percent of workers earn more than that value. The fifth decile is the median, or the midpoint in the earnings distribution, with half of workers earning above the median and the other half earning below the median.",,,,,,,,,,,,,,,,,,
Date,10th,20th,30th,40th,Median,60th,70th,80th,90th,95th,Average,50-10 ratio,95-50 ratio,90-50 ratio,Log 50-10 ratio,Log 95-50 ratio,Log 90-50 ratio,
2023,$13.66 ,$15.95 ,$18.05 ,$20.23 ,$23.98 ,$28.07 ,$33.85 ,$42.87 ,$60.10 ,NA,$33.51 ,1.75,NA,2.51,0.56,NA,0.92,
2022,$13.08 ,$15.55 ,$17.83 ,$20.63 ,$23.85 ,$27.62 ,$33.46 ,$42.41 ,$59.95 ,NA,$33.32 ,1.82,NA,2.51,0.6,NA,0.92,
2021,$13.19 ,$15.84 ,$17.99 ,$20.68 ,$24.05 ,$28.30 ,$34.21 ,$43.21 ,$59.52 ,NA,$33.43 ,1.82,NA,2.47,0.6,NA,0.91,
2020,$13.01 ,$15.89 ,$18.04 ,$21.23 ,$24.67 ,$29.46 ,$35.51 ,$44.69 ,$62.38 ,NA,$33.96 ,1.9,NA,2.53,0.64,NA,0.93,
2019,$12.07 ,$14.76 ,$17.54 ,$19.96 ,$23.08 ,$27.44 ,$33.40 ,$41.74 ,$57.57 ,NA,$31.71 ,1.91,NA,2.49,0.65,NA,0.91,
2018,$12.21 ,$14.41 ,$16.91 ,$19.43 ,$22.83 ,$26.78 ,$32.56 ,$41.05 ,$57.83 ,NA,$31.16 ,1.87,NA,2.53,0.63,NA,0.93,
2017,$12.12 ,$13.84 ,$16.33 ,$18.95 ,$22.55 ,$26.77 ,$32.38 ,$40.86 ,$56.92 ,NA,$30.51 ,1.86,NA,2.52,0.62,NA,0.93,
2016,$11.60 ,$13.34 ,$16.07 ,$18.98 ,$22.28 ,$26.49 ,$31.79 ,$40.37 ,$55.76 ,NA,$30.29 ,1.92,NA,2.5,0.65,NA,0.92,
2015,$11.41 ,$13.08 ,$15.60 ,$18.76 ,$21.99 ,$25.83 ,$31.95 ,$39.81 ,$54.71 ,NA,$29.69 ,1.93,NA,2.49,0.66,NA,0.91,
2014,$10.98 ,$13.00 ,$15.48 ,$18.38 ,$21.63 ,$25.67 ,$30.99 ,$38.69 ,$52.66 ,$68.32 ,$28.58 ,1.97,3.16,2.43,0.68,1.15,0.89,
2013,$10.81 ,$13.20 ,$15.65 ,$18.49 ,$21.58 ,$25.46 ,$31.36 ,$39.07 ,$53.00 ,$69.42 ,$28.76 ,2,3.22,2.46,0.69,1.17,0.9,
2012,$10.85 ,$13.15 ,$15.50 ,$18.55 ,$21.35 ,$25.75 ,$30.86 ,$38.57 ,$52.62 ,$68.41 ,$28.63 ,1.97,3.2,2.46,0.68,1.16,0.9,
2011,$11.07 ,$13.38 ,$15.68 ,$18.65 ,$21.70 ,$25.86 ,$31.21 ,$39.13 ,$52.24 ,$67.59 ,$28.46 ,1.96,3.11,2.41,0.67,1.14,0.88,
2010,$11.28 ,$13.66 ,$15.86 ,$18.97 ,$22.32 ,$26.63 ,$31.59 ,$39.22 ,$53.55 ,$68.23 ,$29.08 ,1.98,3.06,2.4,0.68,1.12,0.87,
2009,$11.47 ,$13.79 ,$16.09 ,$19.14 ,$22.42 ,$26.76 ,$31.85 ,$39.54 ,$53.20 ,$68.74 ,$29.14 ,1.96,3.07,2.37,0.67,1.12,0.86,
2008,$11.42 ,$13.54 ,$15.86 ,$18.61 ,$21.88 ,$25.83 ,$31.15 ,$38.39 ,$51.67 ,$67.08 ,$28.41 ,1.92,3.07,2.36,0.65,1.12,0.86,
2007,$11.06 ,$13.35 ,$15.88 ,$18.60 ,$22.19 ,$25.82 ,$30.97 ,$38.36 ,$51.67 ,$66.60 ,$28.31 ,2.01,3,2.33,0.7,1.1,0.85,
2006,$10.95 ,$13.67 ,$15.47 ,$18.42 ,$22.02 ,$25.71 ,$30.56 ,$37.96 ,$51.25 ,$65.39 ,$27.99 ,2.01,2.97,2.33,0.7,1.09,0.84,
2005,$11.03 ,$13.36 ,$15.78 ,$18.71 ,$21.99 ,$25.76 ,$30.73 ,$37.82 ,$50.35 ,$64.90 ,$27.88 ,1.99,2.95,2.29,0.69,1.08,0.83,
2004,$11.23 ,$13.61 ,$16.22 ,$19.06 ,$22.31 ,$26.01 ,$31.20 ,$38.16 ,$50.75 ,$64.92 ,$28.07 ,1.99,2.91,2.27,0.69,1.07,0.82,
2003,$11.64 ,$13.50 ,$16.66 ,$19.05 ,$22.02 ,$25.86 ,$31.36 ,$38.31 ,$50.12 ,$64.04 ,$28.04 ,1.89,2.91,2.28,0.64,1.07,0.82,
