"Date","Median","Average","Men Median","Men Average","Women Median","Women Average","White Median","White Average","Black Median","Black Average","Hispanic Median","Hispanic Average","White Men Median","White Men Average","Black Men Median","Black Men Average","Hispanic Men Median","Hispanic Men Average","White Women Median","White Women Average","Black Women Median","Black Women Average","Hispanic Women Median","Hispanic Women Average"
"2023","$23.98","$33.51","$25.43","$36.99","$21.96","$29.75","$25.97","$36.10","$20.11","$27.24","$19.93","$25.66","$28.66","$40.25","$21.11","$29.10","$20.71","$27.35","$23.92","$31.59","$19.93","$25.60","$18.31","$23.60"
"2022","$23.85","$33.32","$25.91","$37.30","$21.56","$29.00","$25.96","$35.91","$20.39","$26.67","$19.68","$25.86","$28.12","$40.71","$20.77","$28.56","$20.74","$27.73","$23.43","$30.71","$19.75","$24.98","$18.28","$23.53"
"2021","$24.05","$33.43","$26.08","$37.11","$22.37","$29.47","$26.50","$35.95","$20.26","$26.47","$19.96","$25.95","$28.84","$40.41","$20.88","$28.01","$20.98","$27.57","$23.78","$31.16","$19.69","$25.15","$18.48","$23.87"
"2020","$24.67","$33.96","$27.20","$37.61","$22.71","$30.01","$27.22","$36.39","$20.79","$27.17","$20.00","$26.40","$29.59","$40.79","$21.44","$28.59","$21.30","$28.23","$24.06","$31.62","$20.05","$25.96","$18.29","$24.04"
"2019","$23.08","$31.71","$25.02","$35.15","$21.34","$28.03","$25.49","$34.25","$19.35","$25.17","$19.13","$24.53","$28.68","$38.48","$20.13","$26.30","$20.20","$26.19","$22.98","$29.67","$18.92","$24.20","$17.92","$22.46"
"2018","$22.83","$31.16","$24.36","$34.67","$20.66","$27.38","$25.04","$33.89","$18.33","$24.58","$18.29","$23.83","$27.99","$38.18","$19.51","$25.78","$19.60","$25.64","$22.70","$29.26","$18.13","$23.56","$16.94","$21.52"
"2017","$22.55","$30.51","$24.92","$33.71","$20.53","$27.07","$25.00","$33.06","$18.68","$23.97","$18.65","$23.53","$27.58","$36.88","$18.97","$25.36","$19.22","$25.13","$22.48","$28.95","$17.94","$22.79","$16.45","$21.45"
"2016","$22.28","$30.29","$24.48","$33.61","$20.22","$26.72","$24.58","$32.69","$18.89","$24.11","$17.82","$23.28","$27.44","$36.68","$19.11","$25.62","$19.01","$24.96","$22.08","$28.42","$17.80","$22.83","$16.40","$21.07"
"2015","$21.99","$29.69","$24.25","$32.92","$19.82","$26.22","$24.42","$32.12","$18.08","$23.73","$17.21","$22.53","$26.85","$36.11","$19.15","$25.06","$18.47","$23.99","$21.77","$27.84","$17.38","$22.61","$15.59","$20.62"
"2014","$21.63","$28.58","$23.39","$31.42","$19.55","$25.53","$23.71","$30.79","$17.95","$23.16","$16.72","$21.69","$25.88","$34.35","$18.77","$24.05","$17.96","$22.94","$21.00","$27.02","$17.01","$22.42","$15.49","$20.02"
