"Table 4.1.  All Individual Returns Excluding Dependents: Number of Returns, Shares of Adjusted Gross Income (AGI) and Total Income Tax, 
AGI Floor on Percentiles in Current and Constant Dollars, and Average Tax Rates, by Selected Expanded Descending Cumulative Percentiles  of Returns Based on Income Size Using the Definition of AGI for Each Year, Tax Years 2001-2022 ",,,,,,,,,,,,,,,,,,
[All figures are estimates based on samples],,,,,,,,,,,,,,,,,,
"Item, tax year",Total,Descending cumulative percentiles,,,,,,,,,,,,,,,,
,,"Top
0.001 percent","Top
0.01 percent","Top
0.1 percent","Top
1 percent","Top
2 percent","Top
3 percent","Top
4 percent","Top
5 percent","Top
10 percent","Top
20 percent","Top
25 percent","Top
30 percent","Top
40 percent","Top
50 percent",,,
,,,,,,,,,,,,,,,,,,
,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,,,
Number of returns:,,,,,,,,,,,,,,,,,,
2001,"119,370,886","1,194","11,937","119,371","1,193,709","2,387,418","3,581,127","4,774,835","5,968,544","11,937,089","23,874,177","29,842,722","35,811,266","47,748,354","59,685,443",,,
2002,"119,850,561","1,199","11,985","119,851","1,198,506","2,397,011","3,595,517","4,794,022","5,992,528","11,985,056","23,970,112","29,962,640","35,955,168","47,940,224","59,925,281",,,
2003,"120,758,947","1,208","12,076","120,759","1,207,589","2,415,179","3,622,768","4,830,358","6,037,947","12,075,895","24,151,789","30,189,737","36,227,684","48,303,579","60,379,474",,,
2004,"122,509,974","1,225","12,251","122,510","1,225,100","2,450,199","3,675,299","4,900,399","6,125,499","12,250,997","24,501,995","30,627,494","36,752,992","49,003,990","61,254,987",,,
2005,"124,673,055","1,247","12,467","124,673","1,246,731","2,493,461","3,740,192","4,986,922","6,233,653","12,467,306","24,934,611","31,168,264","37,401,917","49,869,222","62,336,528",,,
2006,"128,441,165","1,284","12,844","128,441","1,284,412","2,568,823","3,853,235","5,137,647","6,422,058","12,844,117","25,688,233","32,110,291","38,532,350","51,376,466","64,220,583",,,
