Macrotrends Data Download,
t,
Debt to GDP Ratio Historical Chart,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
3/1/1966,40.34
4/1/1966,39.268
5/1/1966,39.268
6/1/1966,39.268
7/1/1966,39.621
8/1/1966,39.621
9/1/1966,39.621
10/1/1966,39.52
11/1/1966,39.52
12/1/1966,39.52
1/1/1967,39.204
2/1/1967,39.204
3/1/1967,39.204
4/1/1967,38.033
5/1/1967,38.033
6/1/1967,38.033
7/1/1967,38.821
8/1/1967,38.821
9/1/1967,38.821
10/1/1967,39.102
11/1/1967,39.102
12/1/1967,39.102
1/1/1968,38.43
2/1/1968,38.43
3/1/1968,38.43
4/1/1968,36.964
5/1/1968,36.964
6/1/1968,36.964
7/1/1968,37.309
8/1/1968,37.309
9/1/1968,37.309
10/1/1968,36.985
11/1/1968,36.985
12/1/1968,36.985
1/1/1969,36.196
2/1/1969,36.196
3/1/1969,36.196
4/1/1969,34.974
5/1/1969,34.974
6/1/1969,34.974
7/1/1969,35.019
8/1/1969,35.019
9/1/1969,35.019
10/1/1969,35.47
11/1/1969,35.47
12/1/1969,35.47
1/1/1970,35.389
2/1/1970,35.389
3/1/1970,35.389
4/1/1970,34.673
5/1/1970,34.673
6/1/1970,34.673
7/1/1970,34.867
8/1/1970,34.867
9/1/1970,34.867
10/1/1970,35.748
11/1/1970,35.748
12/1/1970,35.748
1/1/1971,34.503
2/1/1971,34.503
3/1/1971,34.503
4/1/1971,34.361
5/1/1971,34.361
6/1/1971,34.361
7/1/1971,35.007
8/1/1971,35.007
9/1/1971,35.007
10/1/1971,35.632
11/1/1971,35.632
12/1/1971,35.632
1/1/1972,34.726
2/1/1972,34.726
3/1/1972,34.726
4/1/1972,33.674
5/1/1972,33.674
6/1/1972,33.674
7/1/1972,33.624
8/1/1972,33.624
9/1/1972,33.624
10/1/1972,33.748
11/1/1972,33.748
12/1/1972,33.748
1/1/1973,33.293
2/1/1973,33.293
3/1/1973,33.293
4/1/1973,32.345
5/1/1973,32.345
6/1/1973,32.345
7/1/1973,32.125
8/1/1973,32.125
9/1/1973,32.125
10/1/1973,31.774
11/1/1973,31.774
12/1/1973,31.774
1/1/1974,31.764
2/1/1974,31.764
3/1/1974,31.764
4/1/1974,30.995
5/1/1974,30.995
6/1/1974,30.995
7/1/1974,30.863
8/1/1974,30.863
9/1/1974,30.863
10/1/1974,30.798
11/1/1974,30.798
12/1/1974,30.798
1/1/1975,31.536
2/1/1975,31.536
3/1/1975,31.536
4/1/1975,32.278
5/1/1975,32.278
6/1/1975,32.278
7/1/1975,32.38
8/1/1975,32.38
9/1/1975,32.38
10/1/1975,32.73
11/1/1975,32.73
12/1/1975,32.73
1/1/1976,32.985
2/1/1976,32.985
3/1/1976,32.985
4/1/1976,33.495
5/1/1976,33.495
6/1/1976,33.495
7/1/1976,33.643
8/1/1976,33.643
9/1/1976,33.643
10/1/1976,33.788
11/1/1976,33.788
12/1/1976,33.788
1/1/1977,33.651
2/1/1977,33.651
3/1/1977,33.651
4/1/1977,32.804
5/1/1977,32.804
6/1/1977,32.804
7/1/1977,32.988
8/1/1977,32.988
9/1/1977,32.988
10/1/1977,33.219
11/1/1977,33.219
12/1/1977,33.219
1/1/1978,33.501
2/1/1978,33.501
3/1/1978,33.501
4/1/1978,32.124
5/1/1978,32.124
6/1/1978,32.124
7/1/1978,32.214
8/1/1978,32.214
9/1/1978,32.214
10/1/1978,31.862
11/1/1978,31.862
12/1/1978,31.862
1/1/1979,31.536
2/1/1979,31.536
3/1/1979,31.536
4/1/1979,31.063
5/1/1979,31.063
6/1/1979,31.063
7/1/1979,30.984
8/1/1979,30.984
9/1/1979,30.984
10/1/1979,31.026
11/1/1979,31.026
12/1/1979,31.026
1/1/1980,30.95
2/1/1980,30.95
3/1/1980,30.95
4/1/1980,31.373
5/1/1980,31.373
6/1/1980,31.373
7/1/1980,31.777
8/1/1980,31.777
9/1/1980,31.777
10/1/1980,31.157
11/1/1980,31.157
12/1/1980,31.157
1/1/1981,30.873
2/1/1981,30.873
3/1/1981,30.873
4/1/1981,30.709
5/1/1981,30.709
6/1/1981,30.709
7/1/1981,30.603
8/1/1981,30.603
9/1/1981,30.603
10/1/1981,31.356
11/1/1981,31.356
12/1/1981,31.356
1/1/1982,32.413
2/1/1982,32.413
3/1/1982,32.413
4/1/1982,32.402
5/1/1982,32.402
6/1/1982,32.402
7/1/1982,33.925
8/1/1982,33.925
9/1/1982,33.925
10/1/1982,35.182
11/1/1982,35.182
12/1/1982,35.182
1/1/1983,35.829
2/1/1983,35.829
3/1/1983,35.829
4/1/1983,36.872
5/1/1983,36.872
6/1/1983,36.872
7/1/1983,37.331
8/1/1983,37.331
9/1/1983,37.331
10/1/1983,37.176
11/1/1983,37.176
12/1/1983,37.176
1/1/1984,37.454
2/1/1984,37.454
3/1/1984,37.454
4/1/1984,37.727
5/1/1984,37.727
6/1/1984,37.727
7/1/1984,38.496
8/1/1984,38.496
9/1/1984,38.496
10/1/1984,40.085
11/1/1984,40.085
12/1/1984,40.085
1/1/1985,40.441
2/1/1985,40.441
3/1/1985,40.441
4/1/1985,41.32
5/1/1985,41.32
6/1/1985,41.32
7/1/1985,41.559
8/1/1985,41.559
9/1/1985,41.559
10/1/1985,43.787
11/1/1985,43.787
12/1/1985,43.787
1/1/1986,44.074
2/1/1986,44.074
3/1/1986,44.074
4/1/1986,45.307
5/1/1986,45.307
6/1/1986,45.307
7/1/1986,46.125
8/1/1986,46.125
9/1/1986,46.125
10/1/1986,47.553
11/1/1986,47.553
12/1/1986,47.553
1/1/1987,47.578
2/1/1987,47.578
3/1/1987,47.578
4/1/1987,48.049
5/1/1987,48.049
6/1/1987,48.049
7/1/1987,48.117
8/1/1987,48.117
9/1/1987,48.117
10/1/1987,48.557
11/1/1987,48.557
12/1/1987,48.557
1/1/1988,49.032
2/1/1988,49.032
3/1/1988,49.032
4/1/1988,49.087
5/1/1988,49.087
6/1/1988,49.087
7/1/1988,49.257
8/1/1988,49.257
9/1/1988,49.257
10/1/1988,49.715
11/1/1988,49.715
12/1/1988,49.715
1/1/1989,49.733
2/1/1989,49.733
3/1/1989,49.733
4/1/1989,49.888
5/1/1989,49.888
6/1/1989,49.888
7/1/1989,50.171
8/1/1989,50.171
9/1/1989,50.171
10/1/1989,51.381
11/1/1989,51.381
12/1/1989,51.381
1/1/1990,51.969
2/1/1990,51.969
3/1/1990,51.969
4/1/1990,52.747
5/1/1990,52.747
6/1/1990,52.747
7/1/1990,53.753
8/1/1990,53.753
9/1/1990,53.753
10/1/1990,56.036
11/1/1990,56.036
12/1/1990,56.036
1/1/1991,57.417
2/1/1991,57.417
3/1/1991,57.417
4/1/1991,57.746
5/1/1991,57.746
6/1/1991,57.746
7/1/1991,59.061
8/1/1991,59.061
9/1/1991,59.061
10/1/1991,60.686
11/1/1991,60.686
12/1/1991,60.686
1/1/1992,60.997
2/1/1992,60.997
3/1/1992,60.997
4/1/1992,61.579
5/1/1992,61.579
6/1/1992,61.579
7/1/1992,61.898
8/1/1992,61.898
9/1/1992,61.898
10/1/1992,62.523
11/1/1992,62.523
12/1/1992,62.523
1/1/1993,62.867
2/1/1993,62.867
3/1/1993,62.867
4/1/1993,63.915
5/1/1993,63.915
6/1/1993,63.915
7/1/1993,64.101
8/1/1993,64.101
9/1/1993,64.101
10/1/1993,64.669
11/1/1993,64.669
12/1/1993,64.669
1/1/1994,64.307
2/1/1994,64.307
3/1/1994,64.307
4/1/1994,64.107
5/1/1994,64.107
6/1/1994,64.107
7/1/1994,64.012
8/1/1994,64.012
9/1/1994,64.012
10/1/1994,64.386
11/1/1994,64.386
12/1/1994,64.386
1/1/1995,64.663
2/1/1995,64.663
3/1/1995,64.663
4/1/1995,65.313
5/1/1995,65.313
6/1/1995,65.313
7/1/1995,64.739
8/1/1995,64.739
9/1/1995,64.739
10/1/1995,64.183
11/1/1995,64.183
12/1/1995,64.183
1/1/1996,65.042
2/1/1996,65.042
3/1/1996,65.042
4/1/1996,64.25
5/1/1996,64.25
6/1/1996,64.25
7/1/1996,64.255
8/1/1996,64.255
9/1/1996,64.255
10/1/1996,64.447
11/1/1996,64.447
12/1/1996,64.447
1/1/1997,64.344
2/1/1997,64.344
3/1/1997,64.344
4/1/1997,63.109
5/1/1997,63.109
6/1/1997,63.109
7/1/1997,62.487
8/1/1997,62.487
9/1/1997,62.487
10/1/1997,62.77
11/1/1997,62.77
12/1/1997,62.77
1/1/1998,62.51
2/1/1998,62.51
3/1/1998,62.51
4/1/1998,61.852
5/1/1998,61.852
6/1/1998,61.852
7/1/1998,60.587
8/1/1998,60.587
9/1/1998,60.587
10/1/1998,60.407
11/1/1998,60.407
12/1/1998,60.407
1/1/1999,60.049
2/1/1999,60.049
3/1/1999,60.049
