observation_date,MDSP
1/1/1980,4.372891
4/1/1980,4.481938
7/1/1980,4.491766
10/1/1980,4.512256
1/1/1981,4.598035
4/1/1981,4.727176
7/1/1981,4.724414
10/1/1981,4.80891
1/1/1982,4.89099
4/1/1982,4.936303
7/1/1982,4.894283
10/1/1982,4.877726
1/1/1983,4.849154
4/1/1983,4.848131
7/1/1983,4.852345
10/1/1983,4.871123
1/1/1984,4.900392
4/1/1984,4.941458
7/1/1984,4.980292
10/1/1984,5.05047
1/1/1985,5.226777
4/1/1985,5.285404
7/1/1985,5.41046
10/1/1985,5.48269
1/1/1986,5.503128
4/1/1986,5.542279
7/1/1986,5.602333
10/1/1986,5.710391
1/1/1987,5.727013
4/1/1987,5.851268
7/1/1987,5.816926
10/1/1987,5.755412
1/1/1988,5.746887
4/1/1988,5.773431
7/1/1988,5.79517
10/1/1988,5.729602
1/1/1989,5.760173
4/1/1989,5.867787
7/1/1989,5.957596
10/1/1989,5.989871
1/1/1990,6.019675
4/1/1990,6.063661
7/1/1990,6.102623
10/1/1990,6.18227
1/1/1991,6.216675
4/1/1991,6.188352
7/1/1991,6.175433
10/1/1991,6.097033
1/1/1992,5.990278
4/1/1992,5.911459
7/1/1992,5.844377
10/1/1992,5.802369
1/1/1993,5.77348
4/1/1993,5.712197
7/1/1993,5.707024
10/1/1993,5.619833
1/1/1994,5.563705
4/1/1994,5.535898
7/1/1994,5.558447
10/1/1994,5.587129
1/1/1995,5.648761
4/1/1995,5.694785
7/1/1995,5.671951
10/1/1995,5.639323
1/1/1996,5.600129
4/1/1996,5.606269
7/1/1996,5.615988
10/1/1996,5.608981
1/1/1997,5.61989
4/1/1997,5.643776
7/1/1997,5.63749
10/1/1997,5.600171
1/1/1998,5.53176
4/1/1998,5.508772
7/1/1998,5.480971
10/1/1998,5.472906
1/1/1999,5.486907
4/1/1999,5.545157
7/1/1999,5.591622
10/1/1999,5.61361
1/1/2000,5.603787
4/1/2000,5.649237
7/1/2000,5.681759
10/1/2000,5.726554
1/1/2001,5.720924
4/1/2001,5.791297
7/1/2001,5.766344
10/1/2001,5.93889
1/1/2002,5.818683
4/1/2002,5.782798
7/1/2002,5.816934
10/1/2002,5.841991
1/1/2003,5.876676
4/1/2003,5.853615
7/1/2003,5.785099
10/1/2003,5.843954
1/1/2004,5.850716
4/1/2004,5.850062
7/1/2004,5.942921
10/1/2004,6.01877
1/1/2005,7.49597
4/1/2005,7.58928
7/1/2005,7.881696
10/1/2005,7.721674
1/1/2006,7.898613
4/1/2006,8.107804
7/1/2006,8.338563
10/1/2006,8.457133
1/1/2007,8.548444
4/1/2007,8.715677
7/1/2007,8.852972
10/1/2007,8.951798
1/1/2008,8.911721
4/1/2008,8.623828
7/1/2008,8.757906
10/1/2008,8.825364
1/1/2009,8.736148
4/1/2009,8.546917
7/1/2009,8.406611
10/1/2009,8.298902
1/1/2010,8.139607
4/1/2010,7.930774
7/1/2010,7.848625
10/1/2010,7.567982
1/1/2011,7.500138
4/1/2011,7.377539
7/1/2011,7.205684
10/1/2011,7.055088
1/1/2012,6.805059
4/1/2012,6.680276
7/1/2012,6.621394
10/1/2012,6.405273
1/1/2013,6.520457
4/1/2013,6.405988
7/1/2013,6.371945
10/1/2013,6.403982
1/1/2014,6.382673
4/1/2014,6.222359
7/1/2014,6.230359
10/1/2014,6.14628
1/1/2015,6.116055
4/1/2015,6.022983
7/1/2015,6.05368
10/1/2015,6.026867
1/1/2016,6.090748
4/1/2016,6.067528
7/1/2016,5.991104
10/1/2016,5.985307
1/1/2017,5.979369
4/1/2017,5.969329
7/1/2017,5.977025
10/1/2017,5.942936
1/1/2018,5.924021
4/1/2018,5.884257
7/1/2018,5.913372
10/1/2018,5.915357
1/1/2019,5.841685
4/1/2019,5.933358
7/1/2019,5.897151
10/1/2019,5.918276
1/1/2020,5.914246
4/1/2020,5.028147
7/1/2020,5.221495
10/1/2020,5.407841
1/1/2021,4.779057
4/1/2021,5.224558
7/1/2021,5.318745
10/1/2021,5.457454
1/1/2022,5.650133
4/1/2022,5.711503
7/1/2022,5.59514
10/1/2022,5.646393
1/1/2023,5.616176
4/1/2023,5.591763
7/1/2023,5.678232
10/1/2023,5.704593
1/1/2024,5.714631
4/1/2024,5.773469
7/1/2024,5.826586
